combination_id,max_depth,eta,gamma,lambda,min_child_weight,train_auc,train_precision,train_recall,train_f1,test_auc,test_precision,test_recall,test_f1,rank_train_auc,rank_train_precision,rank_test_auc,rank_test_precision,avg_rank
156,5,0.03,0.2,2,10,0.857925659988026,0.798959608323133,0.739031984149448,0.767828260549919,0.730780873494985,0.638907849829352,0.743447180301827,0.687224669603524,43,61,130,122,89
157,3,0.05,0.2,2,10,0.839157054883721,0.781798909751666,0.730682139824512,0.755376737381127,0.729466224298039,0.631853785900783,0.768864177918983,0.693658187029739,229,234,170,200,208.25
158,4,0.05,0.2,2,10,0.852742797492589,0.793885001521144,0.738607415793943,0.76524926686217,0.730821056353781,0.633577614923384,0.755361397934869,0.689130434782609,91,112,127,178,127
159,5,0.05,0.2,2,10,0.848269132728499,0.794284836380396,0.731672799320691,0.761694290976059,0.732283712413958,0.646048109965636,0.746624305003971,0.692704495210022,134,107,81,35,89.25
160,3,0.1,0.2,2,10,0.852732047141515,0.794287450622911,0.739881120860459,0.766119577960141,0.725106384118663,0.625322997416021,0.768864177918983,0.689704310651942,92,106,237,238,168.25
161,4,0.1,0.2,2,10,0.846751369742259,0.792821934688848,0.728417775261817,0.759256527511432,0.727798635658001,0.630246502331779,0.751389992057188,0.685507246376812,146,121,208,213,172
162,5,0.1,0.2,2,10,0.85834030243916,0.802503052503053,0.744126804415511,0.772213247172859,0.729785008311155,0.644368600682594,0.749801429706116,0.693098384728341,39,33,159,46,69.25
163,3,0.03,0,1,15,0.840594564492321,0.782813688212928,0.728417775261817,0.754636756836009,0.729991950033955,0.63894523326572,0.750595710881652,0.690284879474069,218,228,152,120.5,179.625
164,4,0.03,0,1,15,0.843595409463407,0.786313062033227,0.730116048683838,0.75717325897116,0.731983010687301,0.647018030513176,0.741064336775219,0.690855238800444,184,202,90,28,126
165,5,0.03,0,1,15,0.853557079634479,0.79656862745098,0.735918482875743,0.765043401500662,0.730772167208912,0.64673157162726,0.73868149324861,0.689655172413793,84,87,132,32,83.75
166,3,0.05,0,1,15,0.843586199525909,0.787382468911131,0.734786300594396,0.760175695461201,0.727065968199286,0.632199861207495,0.723590150913423,0.674814814814815,185,185,214,189,193.25
167,4,0.05,0,1,15,0.84436678783285,0.787032799389779,0.730116048683838,0.757506790984509,0.728221895103987,0.646766169154229,0.722795869737887,0.682670667666917,171,192,201,31,148.75
168,5,0.05,0,1,15,0.85350268784812,0.796186117467582,0.738607415793943,0.7663167168343,0.729989271176701,0.641958041958042,0.729150119142176,0.682781703235404,86,89,153,83,102.75
169,3,0.1,0,1,15,0.84040000591866,0.785050997107627,0.729833003113501,0.756435643564356,0.729702633450623,0.637884872824632,0.756949960285941,0.692335633853977,222,220.5,164,131,184.375
170,4,0.1,0,1,15,0.84545320247426,0.787883389006985,0.734361732238891,0.760181658365075,0.72766938079554,0.642119752236752,0.741064336775219,0.688053097345133,161,174,210,79,156
171,5,0.1,0,1,15,0.840090024806733,0.786086423536623,0.726011887913954,0.754855797527958,0.728884242559809,0.651112706389088,0.720413026211279,0.684012066365007,225,207,190,10,158
172,3,0.03,0.1,1,15,0.840405147862563,0.785475539349742,0.731672799320691,0.757620164126612,0.730342880334107,0.635873229939312,0.74900714853058,0.687819110138585,221,215,139,152,181.75
173,4,0.03,0.1,1,15,0.842770355274478,0.787675411836486,0.73082366260968,0.758185288503891,0.734002869056118,0.64276048714479,0.754567116759333,0.694190719766167,197,178,34,65.5,118.625
174,5,0.03,0.1,1,15,0.85708096010203,0.800091491308326,0.742570053778658,0.770258367586612,0.73144589980806,0.641221374045801,0.733915806195393,0.684444444444444,49,52,104,88,73.25
